nombre;direccion;barrio;latitud;longitud;coordinador_nombre;coordinador_apellido;votacion;ubicación;imagen_local
SEC.ESC.JACKELINE KENNEDY;Cl. 17 #73- 37, Medellín,Belén;Las Violetas;6,22277;-75,5957;Martha Ofelia;RamÍrez Zuluaga;26;https://www.google.com/maps/@6.2224998,-75.5959524,3a,75y,110.51h,87.37t/data=!3m7!1e1!3m5!1sa81TkbJID6VM6NaDW3u2OA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.6345330139537566%26panoid%3Da81TkbJID6VM6NaDW3u2OA%26yaw%3D110.51318434485358!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_11.jpg
I.E.JOSE MARIA BERNAL;Cra. 70A #13A-19, Medellín,Belén;La Gloria;6,22441;-75,59355;Diana Patricia;Arboleda Posada;67;https://www.google.com/maps/@6.2203387,-75.5933727,3a,75y,219.48h,93.35t/data=!3m7!1e1!3m5!1sGkZA4csxJSrhwo0tPyecZg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.346808721797828%26panoid%3DGkZA4csxJSrhwo0tPyecZg%26yaw%3D219.47781290580258!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_12.jpg
INST.SAN CARLOS DE LA SALLE;Av. 80 #15 - 123, Medellín,Belén;Altavista;6,2234;-75,60081;Juan Guillermo;Arriola Agudelo;51;https://www.google.com/maps/place/Av.+80+%2315+-+123,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2234049,-75.5993912,3a,75y,325.89h,95.48t/data=!3m7!1e1!3m5!1sIo-EG75YD0iKIRunGNbpSg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-5.476848436723628%26panoid%3DIo-EG75YD0iKIRunGNbpSg%26yaw%3D325.892426779046!7i16384!8i8192!4m6!3m5!1s0x8e4429e97f2f87b9:0xee1517202f5f450a!8m2!3d6.2232062!4d-75.6008034!16s%2Fg%2F11bw4d_1wg?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_13.jpg
I.E.ALCALDIA DE MEDELLIN;Cl. 2b #79-80, Medellín,Belén;Altavista;6,2128;-75,60361;Ramona Maria;Paz Rivas;74;https://www.google.com/maps/@6.2123183,-75.6034443,3a,75y,342.46h,92.65t/data=!3m7!1e1!3m5!1sH5n4wD5QNSVPdH2TjEAU5A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.649360052691094%26panoid%3DH5n4wD5QNSVPdH2TjEAU5A%26yaw%3D342.45660917130954!7i13312!8i6656?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_14.jpg
COLEGIO PADRE MANYANET;Cra 84F #8-29, Medellín,Belén;La Palma;6,21982;-75,60885;Laura;Quiceno;34;https://www.google.com/maps/place/Cra+84F+%23+8-29,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2196125,-75.6087551,3a,90y,19.24h,83.89t/data=!3m7!1e1!3m5!1shTIUZ3QtbBndC4YzJRm86g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D6.11315704374293%26panoid%3DhTIUZ3QtbBndC4YzJRm86g%26yaw%3D19.235642902812895!7i16384!8i8192!4m6!3m5!1s0x8e4429f0200c8c95:0x464d19e16e55153d!8m2!3d6.2202413!4d-75.6102608!16s%2Fg%2F11bw3hvt0z?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_15.jpg
I.E.CAMPILLAS DEL ROSARIO;Cl. 6 Sur #79195, El Rincon;El Rincón;6,20545;-75,60209;;;21;https://www.google.com/maps/place/Instituci%C3%B3n+Educativa+Capilla+del+Rosario/@6.2048204,-75.6018207,3a,75y,326.75h,85.67t/data=!3m7!1e1!3m5!1sD-tVcpKAyHM-sw0nOZKzkQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D4.325445708804168%26panoid%3DD-tVcpKAyHM-sw0nOZKzkQ%26yaw%3D326.7549962050062!7i16384!8i8192!4m6!3m5!1s0x8e46820bc9c4392b:0x4ea014d88a0f9d57!8m2!3d6.2051015!4d-75.602014!16s%2Fg%2F11b7q10znr?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_16.jpg
IE ANTONIO RICAURTE;Cl. 2 #28, Medellín,Belén;Altavista;6,2117;-75,60314;;;4;https://www.google.com/maps/place/Escuela+Antonio+Ricaurte/@6.2113239,-75.6030586,3a,75y,296.88h,86.39t/data=!3m7!1e1!3m5!1slTChi0dcw2gFRDdsOpchgA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.6092106272609072%26panoid%3DlTChi0dcw2gFRDdsOpchgA%26yaw%3D296.8841576228525!7i16384!8i8192!4m6!3m5!1s0x8e4429e163337ac5:0x686e8bd98a524825!8m2!3d6.2113068!4d-75.6031514!16s%2Fg%2F11b7qbr735?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_17.jpg
COL LA INMACULADA;Cra. 76 #12 - 57, Medellín,Belén;Las Mercedes;6,22181;-75,59844;;;7;https://www.google.com/maps/place/Cra.+76+%23+12-57,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2211788,-75.5982638,3a,75y,337.36h,93.97t/data=!3m7!1e1!3m5!1sxB9chRYq-CYdhIJL9iPS8A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.9735978737897%26panoid%3DxB9chRYq-CYdhIJL9iPS8A%26yaw%3D337.36121804936!7i13312!8i6656!4m6!3m5!1s0x8e4429e9c59d13c1:0x2a88d84d7051deac!8m2!3d6.221583!4d-75.5984285!16s%2Fg%2F11wb2l8rc1?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_18.jpg
I.E.RAMON GIRALDO CEBALLOS;Cl. 21 #82a-56, Medellín,Belén;Los Alpes;6,22671;-75,60446;Clara Aída;Villarraga Bello;79;https://www.google.com/maps/place/Cl.+21+%2382a56,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2264138,-75.6045442,3a,75y,321.04h,89.26t/data=!3m7!1e1!3m5!1sP283zg6eeb1_ToiyGtoIkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0.7371455884334779%26panoid%3DP283zg6eeb1_ToiyGtoIkw%26yaw%3D321.03620507004257!7i16384!8i8192!4m6!3m5!1s0x8e4429ec8bf19961:0xe2551b85a53c84b3!8m2!3d6.226515!4d-75.6045092!16s%2Fg%2F11j3pm5bcv?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_19.jpg
UNIVERSIDAD DE MEDELLIN;Cra. 87 #30-65, Medellín,Belén;Belén;6,2318;-75,60999;Stephanie;Diez;60;https://www.google.com/maps/place/Cra.+87+%2330-65,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2311577,-75.6098898,3a,75y,181.21h,82.54t/data=!3m7!1e1!3m5!1sxJZcyyvNxC4Dd4YCZ5ON5w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D7.4602511228952295%26panoid%3DxJZcyyvNxC4Dd4YCZ5ON5w%26yaw%3D181.21320017452234!7i16384!8i8192!4m6!3m5!1s0x8e44298d9b76295b:0xfcdee19e8b6ae1ae!8m2!3d6.2319039!4d-75.6100778!16s%2Fg%2F11xyl2zbqr?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_20.jpg
I.E HORACIO MUÑOZ SUESCUN;Cl. 32 #86-35, Medellín,Belén;Belén;6,23451;-75,60942;Nidia Isabel;Jiménez Grajales;40;https://www.google.com/maps/place/Cl.+32+%23+86-35,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2344317,-75.6091767,3a,75y,245.24h,89.79t/data=!3m7!1e1!3m5!1s6a8VZI37elLJz5NkPq-mMw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0.2071648951649081%26panoid%3D6a8VZI37elLJz5NkPq-mMw%26yaw%3D245.2363181784427!7i16384!8i8192!4m6!3m5!1s0x8e44298e01f3b1eb:0xeb9c805bba0c88c9!8m2!3d6.234382!4d-75.609246!16s%2Fg%2F11x7gwx52c?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_21.jpg
I.E.REPUBLICA DE VENEZUELA;Cl. 31C #89c62, Medellín,Belén;Belén;6,23495;-75,6145;Nora;Montoya;73;https://www.google.com/maps/place/Cl.+31C+%2389c62,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2346366,-75.614512,3a,75y,75.94h,92.44t/data=!3m7!1e1!3m5!1s66dY_Bo9ah91fvfUVwXSgg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.4374351213512%26panoid%3D66dY_Bo9ah91fvfUVwXSgg%26yaw%3D75.93567870241381!7i16384!8i8192!4m6!3m5!1s0x8e44298eae650609:0x2af29a193b1bdf6b!8m2!3d6.2347501!4d-75.6145939!16s%2Fg%2F11j2ymp8cg?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_22.jpg
I. E. SAN ROBERTO BELARMINO;Cl. 32B #83-39, Medellín,Belén;Belén;6,23579;-75,60617;;;17;https://www.google.com/maps/place/Cl.+32B+%2383-39,+Medell%C3%ADn,+Bel%C3%A9n,+Medell%C3%ADn,+Antioquia/@6.2357417,-75.6062811,3a,75y,262.36h,93.19t/data=!3m7!1e1!3m5!1s1s8sKPpcoCU_nq0PpdLi_g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.190655358077322%26panoid%3D1s8sKPpcoCU_nq0PpdLi_g%26yaw%3D262.3576886280379!7i16384!8i8192!4m6!3m5!1s0x8e442991a10655f5:0xee97f101317d01e4!8m2!3d6.2353843!4d-75.6065325!16s%2Fg%2F11lmp_r83v?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_23.jpg
INSTITUTO PEDRO JUSTO BERRIO;Cra. 87A #32A-101, Medellín,Belén;Belén;6,23699;-75,61124;;;4;https://www.google.com/maps/place/Unidad+Residencial+Azalea+del+Parque/@6.2355564,-75.6096811,3a,75y,48.56h,97.72t/data=!3m7!1e1!3m5!1sPlUsvpaMJehkqo-_wOQpCg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.718286159844482%26panoid%3DPlUsvpaMJehkqo-_wOQpCg%26yaw%3D48.55775600026739!7i16384!8i8192!4m14!1m7!3m6!1s0x8e44298e4b513d79:0xdd3b503739e3a6e0!2sInstituto+Salesiano+Pedro+Justo+Berr%C3%ADo!8m2!3d6.23678!4d-75.61123!16s%2Fg%2F1tfcjtlt!3m5!1s0x8e44298e3c25cb59:0x8bb03046931cea42!8m2!3d6.2356802!4d-75.6103897!16s%2Fg%2F11g731qg10?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_24.jpg
IE PEDRO OCTAVIO AMADO;Cra. 88a # 18A - 05, Medellín,Belén;Los Alpes;6,22228;-75,61054;;;4;https://www.google.com/maps/place/Instituci%C3%B3n+Educativa+Pedro+Octavio+Amado/@6.2220818,-75.6103431,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIDatbylVA!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAG0ilSx6k-1Wy4QI7qfj1hL7p4SDCU-UjBTz1dMP2-yY15Qvj2n-RxTIojfbeg91QxWfdk9x-leNS45RI0ph-TQwik0xYnW0rpesWgo3QYPfnTnLmZKxZteqaJG5l726p-4aODpOiTn3%3Dw203-h114-k-no!7i1920!8i1080!4m7!3m6!1s0x8e4429f1b64899ad:0x147d32c0cd993994!8m2!3d6.2220465!4d-75.6106138!10e5!16s%2Fg%2F1tcygj1f?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;
